OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ModelYear,Make,Model,VehicleDescription,VehicleId,ComplaintsCount,RecallsCount,InvestigationCount,VehiclePicture
5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v09992P081.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v09992C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v09995P104.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v09995C013.wmv,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v09993P072.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v09993C014.wmv,Standard,Standard,Standard,2025,AUDI,A4,2025 Audi A4 4 DR AWD,20592,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,AUDI,A5 SEDAN,2025 Audi A5 Sedan 4 DR AWD,20845,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,,,Standard,Standard,Standard,2025,AUDI,A4 ALLROAD,2025 Audi A4 allroad SW AWD,20594,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,AUDI,A5 SEDAN,2025 Audi A5 Sedan 4 DR FWD,20844,0.0,0.0,0.0,
5,4,4,4,,,5,5,5,,,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,,,Standard,Standard,Standard,2025,AUDI,A5 SPORTBACK,2025 Audi A5 Sportback 4 DR AWD,20595,1.0,0.0,0.0,
5,4,5,4,,,5,5,5,,,5,5,5,5,Not Rated,0.089,0.0,No Tip,5,,,Standard,Standard,Standard,2025,AUDI,A6 ALLROAD,2025 Audi A6 allroad SW AWD,20598,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,AUDI,A6 E-TRON,2025 Audi A6 e-tron 4 DR AWD,20847,0.0,0.0,0.0,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v10982P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10982C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11297P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11297C013.wmv,5,5,5,5,Not Rated,0.089,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10983P072.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10983C013.wmv,Standard,Standard,Standard,2025,AUDI,A6 SEDAN,2025 Audi A6 Sedan 4 DR AWD,20600,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,,,Standard,Standard,Standard,2025,AUDI,A7,2025 Audi A7 4 DR AWD,20602,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,AUDI,A8 LWB,2025 Audi A8 LWB 4 DR AWD,20605,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2025,BMW,2 SERIES GRAN COUPE,2025 BMW 2 Series Gran Coupe 4 DR AWD,20804,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11571P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11571C018.mp4,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11570P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11570C013.wmv,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11498P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11498C014.mp4,Standard,No,No,2025,BMW,3 SERIES SEDAN,2025 BMW 3 Series Sedan 4 DR AWD,20086,1.0,1.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2025,BMW,2 SERIES GRAN COUPE,2025 BMW 2 Series Gran Coupe 4 DR FWD,20803,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11571P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11571C018.mp4,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11570P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11570C013.wmv,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11498P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11498C014.mp4,Standard,No,No,2025,BMW,3 SERIES SEDAN,2025 BMW 3 Series Sedan 4 DR RWD,20085,1.0,1.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2025,BMW,5 SERIES HYBRID SEDAN,2025 BMW 5 Series Hybrid Sedan 4 DR AWD,20805,0.0,4.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2025,BMW,7 SERIES HYBRID SEDAN,2025 BMW 7 Series Hybrid Sedan 4 DR AWD,20808,0.0,2.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2025,BMW,M5 HYBRID SEDAN,2025 BMW M5 Hybrid Sedan 4 DR AWD,20806,1.0,1.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,2025,BMW,M5 HYBRID WAGON,2025 BMW M5 Hybrid Wagon 4 DR AWD,20807,1.0,1.0,0.0,
4,4,4,5,https://static.nhtsa.gov/crashTest/images/2025/v14386P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14386C020.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v14383P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14383C013.wmv,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v14382P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14382C014.wmv,Standard,No,No,2025,BMW,X1,2025 BMW X1 SUV AWD,20087,5.0,2.0,0.0,
4,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v15330P086.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15327P105.jpg,,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15325P074.jpg,,Standard,No,No,2025,BMW,X3,2025 BMW X3 SUV AWD,20809,17.0,7.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,BRIGHTDROP,ZEVO 400,2025 BrightDrop Zevo 400 CV AWD,20533,0.0,0.0,0.0,
Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v10642P086.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10642C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10645P105.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10645C012.wmv,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2025/v10640P072.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10640C004.wmv,Standard,No,No,2025,BMW,X5,2025 BMW X5 SUV RWD,20088,37.0,4.0,0.0,https://static.nhtsa.gov/images/vehicles/BTL_54811_cc0640_032_C4P.png
4,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v10642P086.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10642C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10645P105.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10645C012.wmv,5,5,5,4,Not Rated,0.159,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10640P072.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10640C004.wmv,Standard,No,No,2025,BMW,X5,2025 BMW X5 SUV AWD,20089,37.0,4.0,0.0,https://static.nhtsa.gov/images/vehicles/54794_cc0640_032_C4W.png
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,BRIGHTDROP,ZEVO 400,2025 BrightDrop Zevo 400 CV FWD,20532,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,BRIGHTDROP,ZEVO 600,2025 BrightDrop Zevo 600 CV AWD,20531,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,BRIGHTDROP,ZEVO 600,2025 BrightDrop Zevo 600 CV FWD,20530,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,,,Standard,Standard & Optional,Standard & Optional,2025,BUICK,ENCLAVE,2025 Buick Enclave SUV FWD,20419,10.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,,,5,5,5,4,Not Rated,0.185,0.0,No Tip,5,,,Standard,Standard & Optional,Standard & Optional,2025,BUICK,ENCLAVE,2025 Buick Enclave SUV AWD,20420,10.0,0.0,0.0,
5,5,5,4,,,5,5,5,,,5,5,5,4,Not Rated,0.179,0.0,No Tip,5,,,Standard,Standard,Standard,2025,BUICK,ENCORE GX,2025 Buick Encore GX SUV AWD,20407,2.0,0.0,0.0,https://static.nhtsa.gov/images/vehicles/54982_cc0640_032_GZB.png
5,5,5,4,,,5,5,5,,,5,5,5,4,Not Rated,0.185,0.0,No Tip,5,,,Standard,Standard,Standard,2025,BUICK,ENCORE GX,2025 Buick Encore GX SUV FWD,20406,2.0,0.0,0.0,https://static.nhtsa.gov/images/vehicles/54982_cc0640_032_GZB.png
4,4,5,4,,,5,4,5,,,4,5,5,4,Not Rated,0.155,0.0,No Tip,5,,,Standard,Standard,Standard,2025,BUICK,ENVISTA,2025 Buick Envista Early Release SUV FWD,20411,15.0,0.0,0.0,https://static.nhtsa.gov/images/vehicles/54989_cc0640_032_GZB.png
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CADILLAC,CELESTIQ,2025 Cadillac CELESTIQ 4 DR AWD,20538,0.0,0.0,0.0,
Not Rated,4,5,4,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,4,Not Rated,0.155,0.0,No Tip,Not Rated,,,Standard,No,No,2025,BUICK,ENVISTA,2025 BUICK ENVISTA SUV FWD,20863,0.0,0.0,0.0,
5,5,4,5,https://static.nhtsa.gov/crashTest/images/2025/v15237P084.png,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15239P188.jpg,,5,5,5,4,Not Rated,0.147,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15238P249.jpg,,Standard,Standard,Standard,2025,BUICK,ENVISION,2025 Buick Envision SUV AWD,20416,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,CADILLAC,CT4-V,2025 Cadillac CT4-V 4 DR AWD,20397,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,CADILLAC,CT4,2025 Cadillac CT4 4 DR AWD,20395,2.0,0.0,0.0,https://static.nhtsa.gov/images/vehicles/52417_st0640_046.png
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,CADILLAC,CT4-V,2025 Cadillac CT4-V 4 DR RWD,20396,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,CADILLAC,CT4,2025 Cadillac CT4 4 DR RWD,20394,2.0,0.0,0.0,https://static.nhtsa.gov/images/vehicles/52417_st0640_046.png
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard & Optional,Standard & Optional,2025,CADILLAC,CT4-V BLACKWING,2025 Cadillac CT4-V Blackwing 4 DR RWD,20398,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11081P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11081C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard,Standard,2025,CADILLAC,CT5,2025 Cadillac CT5 4 DR RWD,20399,4.0,0.0,0.0,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15410P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard,Standard,2025,CADILLAC,CT5-V,2025 Cadillac CT5-V 4 DR AWD,20402,0.0,0.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11081P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11081C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard,Standard,2025,CADILLAC,CT5,2025 Cadillac CT5 4 DR AWD,20400,4.0,0.0,0.0,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15410P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard,Standard,2025,CADILLAC,CT5 WITH V6,2025 Cadillac CT5 with V6 4 DR AWD,20404,0.0,0.0,0.0,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15410P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard,Standard,2025,CADILLAC,CT5 WITH V6,2025 Cadillac CT5 with V6 4 DR RWD,20403,0.0,0.0,0.0,
5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15410P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard,Standard,2025,CADILLAC,CT5-V,2025 Cadillac CT5-V 4 DR RWD,20401,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11127P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11127C012.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11082P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11082C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,CADILLAC,CT5-V BLACKWING,2025 Cadillac CT5-V Blackwing 4 DR RWD,20405,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,5,5,,,5,5,5,3,Not Rated,0.219,0.0,No Tip,5,,,Standard,Standard,Standard,2025,CADILLAC,ESCALADE,2025 Cadillac Escalade SUV 4WD,20438,3.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,5,5,,,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,,,Standard,Standard,Standard,2025,CADILLAC,ESCALADE,2025 Cadillac Escalade SUV RWD,20437,3.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,5,5,,,5,5,5,3,Not Rated,0.219,0.0,No Tip,5,,,Standard,Standard,Standard,2025,CADILLAC,ESCALADE ESV,2025 Cadillac Escalade ESV SUV 4WD,20444,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,5,5,,,5,5,5,3,Not Rated,0.212,0.0,No Tip,5,,,Standard,Standard,Standard,2025,CADILLAC,ESCALADE ESV,2025 Cadillac Escalade ESV SUV RWD,20443,0.0,0.0,0.0,
5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v10737P088.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10737C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10739P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10739C013.wmv,5,5,5,4,Not Rated,0.147,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10738P072.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10738C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,CHEVROLET,BLAZER,2025 Chevrolet Blazer SUV AWD,20430,4.0,1.0,0.0,https://static.nhtsa.gov/images/vehicles/52591_st0640_046.png
5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v10737P088.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10737C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v10739P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v10739C013.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v10738P072.JPG,https://static.nhtsa.gov/crashTest/videos/2025/v10738C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,CHEVROLET,BLAZER,2025 Chevrolet Blazer SUV FWD,20429,4.0,1.0,0.0,https://static.nhtsa.gov/images/vehicles/52591_st0640_046.png
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15074P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15076P001.jpg,,5,5,5,5,Not Rated,0.089,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15077P001.jpg,,Standard,Optional,Optional,2025,CHEVROLET,BLAZER EV,2025 Chevrolet Blazer EV SUV RWD,20542,3.0,2.0,0.0,
5,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15074P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15076P001.jpg,,5,5,5,4,Not Rated,0.105,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15077P001.jpg,,Standard,Optional,Optional,2025,CHEVROLET,BLAZER EV,2025 Chevrolet Blazer EV SUV AWD,20543,3.0,2.0,0.0,
4,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v14427P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14427C019.wmv,5,3,5,https://static.nhtsa.gov/crashTest/images/2025/v14428P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14428C013.wmv,4,5,5,3,Not Rated,0.0,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v14429P075.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14429C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,CHEVROLET,COLORADO,2025 Chevrolet Colorado PU/CC 4WD,20501,11.0,0.0,0.0,
Not Rated,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15074P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15076P001.jpg,,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2025/v15077P001.jpg,,Standard,Optional,Optional,2025,CHEVROLET,BLAZER EV,2025 Chevrolet Blazer EV SUV FWD,20541,3.0,2.0,0.0,
4,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v14427P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14427C019.wmv,5,3,5,https://static.nhtsa.gov/crashTest/images/2025/v14428P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14428C013.wmv,4,5,5,3,Not Rated,0.0,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v14429P075.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14429C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,CHEVROLET,COLORADO,2025 Chevrolet Colorado PU/CC RWD,20500,11.0,0.0,0.0,
Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v14427P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14427C019.wmv,5,3,5,https://static.nhtsa.gov/crashTest/images/2025/v14428P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14428C013.wmv,4,5,5,Not Rated,Not Rated,0.0,0.0, ,5,https://static.nhtsa.gov/crashTest/images/2025/v14429P075.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14429C013.wmv,Standard,Standard & Optional,Standard & Optional,2025,CHEVROLET,COLORADO ZR2 BISON,2025 Chevrolet Colorado ZR2 Bison PU/CC 4WD,20502,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE E-RAY,2025 Chevrolet Corvette E-Ray C AWD,20389,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE E-RAY,2025 Chevrolet Corvette E-Ray 2 DR AWD,20387,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE STINGRAY,2025 Chevrolet Corvette Stingray C RWD,20388,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE STRINGRAY,2025 Chevrolet Corvette Stringray 2 DR RWD,20386,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE Z06,2025 Chevrolet Corvette Z06 C RWD,20391,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE Z06,2025 Chevrolet Corvette Z06 2 DR RWD,20390,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE ZR1,2025 Chevrolet Corvette ZR1 C RWD,20393,0.0,0.0,0.0,
Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,2025,CHEVROLET,CORVETTE ZR1,2025 Chevrolet Corvette ZR1 2 DR RWD,20392,0.0,0.0,0.0,
